Restaurant,Rating,Lowest Price Entree,Highest Price Entree,Average_Price
Olive Garden,3.5,10.75,20.75,15.75
Myung Ga Tofu & BBQ,4.5,9.99,24.99,17.49
Royal India,4.5,13.95,21.95,17.95
Cheesecake Factory,4.25,11.95,19.95,15.95
Lime,4,6.99,11.99,9.49
Capriccio's,5,24,44,34
Chili's,3.5,6.89,11.99,9.44
Pei Wei,4.15,6.45,9.25,7.85
LongHorn Steakhouse,3,8.79,26.99,17.89
The Juicy Crab,4.8,7,13,10
Sichuan House,4.8,8,38,23
Sushi Yu-Ka,4.9,6.99,26.99,16.99
Dan Moo Ji,4.2,5.99,27.99,16.99
Sri Thai,4.1,9.95,24.95,17.45
Tofu House,4.5,7.99,21.99,14.99
Outback Steakhouse,3.5,11.99,34.29,23.14
Rustic Inn Crabhouse,4,5.5,69,37.25
Kelly's Landing New England Seafood,4.5,8,27,17.5
Mainland China Bistro,4.85,8.95,29.95,19.45
China Pavilion,5,10.95,20.95,15.95
Noodles Etc.,3.5,7.25,10.25,8.75
Bellini,5,14,54,34
Shinju,5,11.95,19.95,15.95
Ming's BBQ,4.6,7,18,12.5
Fyr & Ice,4.3,12,18,15
Bento,3.9,8,14,11
Bonefish Grill,4.5,9.9,27.5,18.7
